iter	RMSE
348	91611.69014
349	91549.28221
350	91514.94901
351	91472.84883
352	91403.05164
353	91334.07172
354	91296.94415
355	91250.22324
356	91213.78536
357	91161.88224
358	91121.0486
359	91075.22265
360	91044.60747
361	90977.96109
362	90908.45446
363	90881.06731
364	90842.43027
365	90781.56635
366	90748.85019
367	90698.44239
368	90654.90588
369	90543.61576
370	90466.98969
371	90424.15484
372	90360.10269
373	90307.30229
374	90270.8612
375	90239.245
376	90205.55797
377	90162.53662
378	90129.8146
379	90098.10218
380	90075.62163
381	90026.48001
382	89958.8356
383	89922.94966
384	89888.67915
385	89824.53459
386	89809.51606
387	89733.62867
388	89687.10208
389	89655.76239
390	89619.05858
391	89566.83158
392	89522.26287
393	89486.48511
394	89457.96211
395	89427.55221
396	89382.21264
397	89344.67412
398	89308.18992
399	89276.78657
400	89247.45936
401	89185.83056
402	89136.40892
403	89104.34289
404	89064.70911
405	88996.4121
406	88945.04428
407	88899.76681
408	88853.93956
409	88808.49624
410	88761.32089
411	88716.89557
412	88675.64924
413	88641.17385
414	88617.9936
415	88574.08238
416	88504.83543
417	88481.15183
418	88426.2202
419	88358.25214
420	88312.16701
421	88262.23603
422	88240.87998
423	88199.4249
424	88159.87561
425	88139.50267
426	88103.83979
427	88060.3402
428	88016.53257
429	87933.34895
430	87906.64341
431	87851.09561
432	87812.4953
433	87772.0519
434	87745.21042
435	87726.15097
436	87695.05359
437	87631.08848
438	87589.86223
439	87543.19581
440	87495.50187
441	87430.94492
442	87394.05396
443	87354.09088
444	87340.72416
445	87308.59779
446	87275.07076
447	87227.11101
448	87195.92422
449	87150.97204
450	87121.76392
451	87069.99286
452	87020.81046
453	86996.93097
454	86958.10032
455	86912.36999
456	86831.38594
457	86801.20607
458	86764.00776
459	86733.03575
460	86686.51249
461	86662.63694
462	86619.61453
463	86595.97324
464	86549.06472
465	86508.81229
466	86488.79788
467	86453.37779
468	86407.11555
469	86363.9439
470	86318.57329
471	86288.03976
472	86273.89957
473	86223.8103
474	86197.13433
475	86164.81965
476	86143.90751
477	86114.26979
478	86073.04596
479	86049.9509
480	85994.77759
481	85946.01793
482	85919.49852
483	85898.22775
484	85861.25959
485	85828.34318
486	85818.75823
487	85782.63632
488	85760.77381
489	85719.98444
490	85700.52988
491	85670.87963
492	85598.86636
493	85554.60602
494	85525.04312
495	85480.05083
496	85425.10747
497	85402.69785
498	85387.65276
499	85365.03469
500	85331.83604
501	85274.83627
502	85250.83271
503	85237.87141
504	85203.09324
505	85183.30745
506	85155.66649
507	85099.52883
508	85060.20133
509	85037.1227
510	84980.9495
511	84947.94503
512	84903.10081
513	84851.39059
514	84802.25805
515	84762.78624
516	84700.82137
517	84666.48049
518	84622.1841
519	84555.63628
520	84495.42969
521	84431.14209
522	84387.58455
523	84350.58714
524	84301.03572
525	84278.17145
526	84250.61224
527	84221.73491
528	84209.76647
529	84171.66768
530	84141.32669
531	84103.98096
532	84068.73
533	84044.80954
534	84000.55779
535	83960.98206
536	83938.06014
537	83899.2877
538	83847.05139
539	83798.65153
540	83769.1036
541	83729.39865
542	83712.93472
543	83684.16567
544	83656.51618
545	83602.59405
546	83551.10899
547	83500.79899
548	83463.24689
549	83427.95387
550	83393.97143
551	83352.82016
552	83325.89905
553	83264.18787
554	83241.83798
555	83232.20196
556	83217.6844
557	83164.31003
558	83134.18888
559	83108.60617
560	83083.98396
561	83062.66598
562	83039.35455
563	83011.70832
564	82992.39512
565	82962.53252
566	82926.83773
567	82890.70741
568	82868.51788
569	82853.78186
570	82820.25509
571	82792.18587
572	82766.13037
573	82741.56255
574	82710.95948
575	82676.68226
576	82641.29482
577	82610.92297
578	82547.61674
579	82526.02963
580	82493.5483
581	82471.89442
582	82441.10558
583	82416.89947
584	82385.34977
585	82354.15619
586	82329.76989
587	82282.51796
588	82261.53789
589	82231.95234
590	82212.47856
591	82189.3303
592	82165.86072
593	82158.78865
594	82117.79248
595	82089.3331
596	82056.24088
597	82035.88718
598	82022.79813
599	81992.00299
600	81957.38978
601	81930.202
602	81897.6802
603	81877.8389
604	81832.44998
605	81817.33762
606	81786.99193
607	81752.79913
608	81719.97553
609	81694.96638
610	81667.28831
611	81633.02998
612	81613.05934
613	81567.30335
614	81544.5397
615	81507.8598
616	81462.47418
617	81416.05136
618	81392.85891
619	81347.07864
620	81315.20558
621	81282.02831
622	81253.12464
623	81232.18089
624	81227.51744
625	81186.01557
626	81172.23117
627	81125.94913
628	81092.41836
629	81038.31781
630	81030.82981
631	81002.07371
632	80983.4531
633	80962.69284
634	80906.30913
635	80902.52772
636	80867.526
637	80837.2822
638	80810.75239
639	80759.47577
640	80735.45244
641	80728.87805
642	80701.28642
643	80697.14204
644	80670.2558
645	80647.61902
646	80601.56785
647	80597.55695
648	80573.57539
649	80517.96417
650	80493.27994
651	80464.93375
652	80449.06801
653	80424.3454
654	80388.48079
655	80362.342
656	80354.51422
657	80347.24075
658	80326.83077
659	80297.98601
660	80273.81088
661	80196.47022
662	80172.34546
663	80154.8878
664	80126.18839
665	80110.35758
666	80103.40341
667	80091.52947
668	80049.97189
669	80017.40548
670	79969.52908
671	79946.47636
672	79922.74911
673	79902.72615
674	79878.17089
675	79857.25674
676	79827.46929
677	79795.37274
678	79760.31762
679	79739.38086
680	79703.36611
681	79672.09944
682	79658.69815
683	79626.3063
684	79602.06832
685	79591.48296
686	79534.41141
687	79516.73065
688	79483.01339
689	79446.71276
690	79423.59834
691	79407.0262
692	79372.66736
693	79335.47255
694	79311.41673
695	79291.98747
696	79265.57206
697	79244.49758
698	79190.94146
699	79163.21676
700	79138.11624
701	79119.06482
702	79089.94443
703	79072.40863
704	79040.27974
705	79012.03973
706	78998.11138
707	78973.7836
708	78953.63368
709	78925.90797
710	78894.06545
711	78878.72721
712	78855.58181
713	78823.62607
714	78798.67559
715	78795.2024
716	78759.85715
717	78756.50586
718	78735.68639
719	78708.21772
720	78705.01009
721	78672.73783
722	78642.67659
723	78615.71207
724	78583.83948
725	78561.337
726	78504.62715
727	78493.99999
728	78474.80617
729	78468.24847
730	78440.09503
731	78407.88303
732	78391.15462
733	78373.583
734	78334.07303
735	78307.72629
736	78304.71995
737	78285.34692
738	78256.85801
739	78240.73586
740	78223.3733
741	78171.38242
742	78160.74965
743	78142.28939
744	78113.02817
745	78097.14145
746	78065.9205
747	78050.81224
748	78027.2013
749	78010.00136
750	77997.45092
751	77980.62739
752	77966.76959
753	77938.83064
754	77912.60673
755	77885.99711
756	77876.36979
757	77853.14201
758	77834.80248
759	77806.71757
760	77784.50363
761	77761.07592
762	77729.40353
763	77690.73083
764	77672.00981
765	77635.09881
766	77618.62033
767	77594.30947
768	77561.75694
769	77526.13835
770	77502.15727
771	77456.63909
772	77444.71531
773	77422.31355
774	77401.89769
775	77382.55817
776	77372.16499
777	77337.57182
778	77310.52977
779	77255.55492
780	77229.27015
781	77194.28549
782	77172.44572
783	77170.13912
784	77125.30203
785	77107.20226
786	77085.57094
787	77059.97346
788	77039.30739
789	77012.2264
790	76981.51235
791	76954.38019
792	76919.81183
793	76891.3447
794	76871.28003
795	76845.13558
796	76827.5956
797	76806.85185
798	76782.0741
799	76764.25067
800	76751.21592
801	76729.99492
802	76711.44963
803	76690.46542
804	76658.12761
805	76622.4218
806	76583.49778
807	76570.30318
808	76545.46239
809	76498.81453
810	76474.99804
811	76450.68593
812	76439.23353
813	76413.74747
814	76390.31618
815	76360.57136
816	76341.67167
817	76327.95833
818	76289.27899
819	76287.34751
820	76260.3245
821	76248.74746
822	76231.18741
823	76211.90469
824	76173.74815
825	76132.74097
826	76128.46584
827	76110.37749
828	76106.44098
829	76076.34227
830	76048.34935
831	76029.55704
832	76005.75863
833	75983.27559
834	75968.03865
835	75966.01364
836	75944.41507
837	75890.41502
838	75873.065
839	75851.73216
840	75819.71546
841	75808.9061
842	75789.66531
843	75787.65874
844	75757.20822
845	75735.05063
846	75718.76757
847	75688.95564
848	75687.05706
849	75678.29139
850	75650.52201
851	75627.1614
852	75622.26586
853	75599.36799
854	75571.28991
855	75561.90823
856	75553.72705
857	75528.23183
858	75512.85606
859	75476.96988
860	75447.81821
861	75427.91651
862	75413.20168
863	75394.80672
864	75355.82047
865	75337.63768
866	75313.66499
867	75295.47253
868	75274.55259
869	75249.22883
870	75219.6319
871	75187.86148
872	75167.61776
873	75133.86825
874	75120.5494
875	75099.16667
876	75095.4278
877	75073.93445
878	75031.19872
879	74998.73113
880	74980.28516
881	74965.41666
882	74947.26282
883	74935.39355
884	74903.14456
885	74881.16675
886	74865.40503
887	74831.50971
888	74792.37705
889	74774.00116
890	74752.11077
891	74733.96039
892	74711.26833
893	74692.29777
894	74682.17131
895	74677.08576
896	74646.21179
897	74640.52494
898	74621.73554
899	74596.31666
900	74575.3408
901	74553.87907
902	74532.48446
903	74530.20107
904	74487.29645
905	74458.06785
906	74434.96122
907	74418.14558
908	74398.01425
909	74391.79581
910	74368.00437
911	74347.88464
912	74324.86095
913	74307.84624
914	74285.47032
915	74264.76695
916	74244.52239
917	74225.47823
918	74201.30726
919	74179.88925
920	74161.37534
921	74145.70079
922	74130.05567
923	74124.76021
924	74105.15063
925	74082.47551
926	74067.00854
927	74055.945
928	74035.97664
929	74021.16778
930	74012.24149
931	73990.98358
932	73965.76219
933	73947.83133
934	73926.20036
935	73906.11945
936	73892.02551
937	73883.8275
938	73871.11047
939	73869.20931
940	73842.52511
941	73826.15851
942	73817.49552
943	73789.72212
944	73770.36685
945	73752.76457
946	73736.25913
947	73720.45473
948	73710.38715
949	73695.85315
950	73669.77222
951	73644.87375
952	73630.46064
953	73610.14491
954	73588.17902
955	73566.43567
956	73546.9255
957	73529.77517
958	73506.84273
959	73492.68659
960	73466.91226
961	73440.69821
962	73424.68616
963	73396.23593
964	73377.67625
965	73353.07074
966	73327.26521
967	73312.72167
968	73291.8656
969	73274.74926
970	73266.11815
971	73245.68861
972	73230.2432
973	73217.4553
974	73203.87195
975	73188.60941
976	73161.56277
977	73138.61045
978	73114.57009
979	73092.50383
980	73079.10004
981	73050.71755
982	73030.38966
983	73014.79196
984	72988.7411
985	72971.03081
986	72940.13936
987	72931.9822
988	72918.31144
989	72899.65682
990	72881.51162
991	72867.13887
992	72843.44043
993	72827.97293
994	72815.37135
995	72804.5394
996	72781.84089
997	72767.93277
998	72750.57952
999	72722.01979
